frame_index,x_centroid,y_centroid,visibility_flag
0,1100,590,1
1,1100,590,1
2,1100,590,1
3,1101,590,1
4,1100,590,1
5,1100,590,1
6,1100,590,1
7,1100,590,1
8,1100,590,1
9,1100,589,1
10,1100,590,1
11,1100,590,1
12,1100,589,1
13,1100,590,1
14,1100,590,1
15,1101,590,1
16,1100,590,1
17,1100,590,1
18,1100,590,1
19,1100,590,1
20,1100,590,1
21,1100,589,1
22,1100,589,1
23,1100,589,1
24,1100,590,1
25,1100,590,1
26,1100,590,1
27,1100,590,1
28,1100,590,1
29,1100,590,1
30,1101,590,1
31,1100,589,1
32,1100,589,1
33,1100,590,1
34,1100,590,1
35,1100,590,1
36,1101,590,1
37,1100,589,1
38,1100,589,1
39,1100,589,1
40,1100,589,1
41,1100,589,1
42,1100,590,1
43,1100,589,1
44,1100,589,1
45,1100,590,1
46,1100,590,1
47,1100,590,1
48,1100,590,1
49,1099,589,1
50,1100,589,1
51,1100,589,1
52,1100,589,1
53,1100,589,1
54,1100,589,1
55,1100,589,1
56,1100,589,1
57,1100,589,1
58,1100,589,1
59,1100,590,1
60,1100,589,1
61,1100,589,1
62,1100,589,1
63,1100,590,1
64,1100,590,1
65,1101,590,1
66,1101,590,1
67,1101,590,1
68,1100,590,1
69,1100,589,1
70,1100,589,1
71,1100,589,1
72,1100,590,1
73,1100,590,1
74,1100,590,1
75,1100,589,1
76,1100,589,1
77,1100,589,1
78,1100,589,1
79,1100,589,1
80,1100,589,1
81,1101,590,1
82,1100,589,1
83,1100,590,1
84,1100,590,1
85,1100,589,1
86,1100,589,1
87,1100,589,1
88,1100,589,1
89,1100,589,1
90,1100,589,1
91,1100,589,1
92,1100,589,1
93,1100,590,1
94,1100,590,1
95,1100,589,1
96,1100,590,1
97,1100,590,1
98,1100,589,1
99,1100,589,1
100,1100,589,1
101,1100,589,1
102,1100,589,1
103,1100,589,1
104,1100,589,1
105,1100,589,1
106,1100,590,1
107,1100,589,1
108,1100,590,1
109,1100,590,1
110,1100,589,1
111,1100,589,1
112,1100,589,1
113,1100,590,1
114,1100,589,1
115,1100,590,1
116,1100,590,1
117,1100,590,1
118,1100,590,1
119,1100,590,1
120,1100,590,1
121,1100,590,1
122,1100,590,1
123,1100,590,1
124,1100,590,1
125,1101,590,1
126,1101,590,1
127,1100,590,1
128,1100,590,1
129,837,734,1
130,837,734,1
131,1100,589,1
132,1101,590,1
133,1101,589,1
134,1101,589,1
135,1101,590,1
136,1101,589,1
137,1101,590,1
138,1101,589,1
139,1062,648,1
140,1062,648,1
141,1101,589,1
142,1078,681,1
143,1100,590,1
144,1094,714,1
145,1100,590,1
146,1114,678,1
147,1100,590,1
148,1100,590,1
149,1100,589,1
150,1099,589,1
151,1099,589,1
152,1100,590,1
153,1100,590,1
154,1100,590,1
155,1100,590,1
156,1100,590,1
157,1100,590,1
158,1100,590,1
159,1101,590,1
160,1101,590,1
161,1100,590,1
162,1100,589,1
163,1100,589,1
164,1099,590,1
165,1099,590,1
166,1100,590,1
167,1100,591,1
168,1099,591,1
169,1100,591,1
170,1097,591,1
171,1097,591,1
172,1097,591,1
173,1097,591,1
174,1094,590,1
175,1094,590,1
176,1090,589,1
177,1090,589,1
178,1090,589,1
179,1096,588,1
180,1096,588,1
181,1096,588,1
182,1096,588,1
183,1096,587,1
184,1098,587,1
185,1098,587,1
186,1099,588,1
187,1099,588,1
188,1098,588,1
189,1098,588,1
190,1098,588,1
191,1098,589,1
192,1098,589,1
193,1100,590,1
194,1099,590,1
195,1099,590,1
196,1099,589,1
197,1099,590,1
198,1099,589,1
199,1100,589,1
200,1099,588,1
201,1099,588,1
202,1099,589,1
203,1100,589,1
204,1099,588,1
205,1099,588,1
206,1099,588,1
207,1099,588,1
208,1099,588,1
209,1099,588,1
210,1099,589,1
211,1099,589,1
212,1099,589,1
213,1099,589,1
214,1099,589,1
215,1099,589,1
216,1100,589,1
217,1099,589,1
218,1099,588,1
219,1099,588,1
220,1099,588,1
221,1099,588,1
222,1099,588,1
223,1099,587,1
224,1098,587,1
225,1098,587,1
226,1099,588,1
227,1099,588,1
228,1099,588,1
229,1099,588,1
230,1099,588,1
231,1099,588,1
232,1099,588,1
233,1099,588,1
234,1099,588,1
235,1098,588,1
236,1099,588,1
237,1098,588,1
238,1099,588,1
239,1099,588,1
240,1098,589,1
241,1099,588,1
242,1099,588,1
243,1099,588,1
244,1098,588,1
245,1098,588,1
246,1098,588,1
247,1098,588,1
248,1098,588,1
249,1098,588,1
250,1099,588,1
251,1099,588,1
252,1099,588,1
253,1098,588,1
254,1099,588,1
255,1098,587,1
256,1098,587,1
257,1106,587,1
258,1106,587,1
259,1106,587,1
260,1120,590,1
261,1120,591,1
