frame_index,x_centroid,y_centroid,visibility_flag
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,,,0
40,,,0
41,,,0
42,,,0
43,1080,572,1
44,1080,572,1
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,,,0
51,,,0
52,,,0
53,,,0
54,,,0
55,,,0
56,,,0
57,,,0
58,,,0
59,1093,851,1
60,1094,851,1
61,1094,851,1
62,,,0
63,,,0
64,,,0
65,,,0
66,,,0
67,,,0
68,1104,489,1
69,1104,489,1
70,1123,441,1
71,1123,441,1
72,1133,407,1
73,1133,408,1
74,1133,408,1
75,,,0
76,,,0
77,,,0
78,,,0
79,,,0
80,1159,339,1
81,1159,339,1
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,1217,355,1
101,1217,355,1
102,1217,355,1
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,902,959,1
109,,,0
110,,,0
111,902,970,1
112,,,0
113,1232,511,1
114,1232,511,1
115,1232,511,1
116,,,0
117,,,0
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,,,0
124,,,0
125,,,0
126,,,0
127,,,0
128,1196,496,1
129,1196,496,1
130,,,0
131,,,0
132,,,0
133,,,0
134,,,0
135,,,0
136,1144,434,1
137,1144,434,1
138,1144,434,1
139,1132,426,1
140,1132,427,1
141,1120,424,1
142,1120,424,1
143,1120,424,1
144,1110,424,1
145,1107,424,1
146,1099,424,1
147,1095,425,1
148,1095,426,1
149,1087,430,1
150,1084,431,1
151,,,0
152,1065,454,1
153,1065,454,1
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,,,0
162,,,0
163,,,0
164,1257,439,1
165,1257,439,1
166,1257,439,1
167,,,0
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,970,384,1
174,970,384,1
175,970,384,1
176,,,0
177,948,379,1
178,948,379,1
179,948,379,1
180,937,382,1
181,937,381,1
182,927,387,1
183,927,387,1
184,927,387,1
185,915,395,1
186,915,395,1
187,905,406,1
188,905,406,1
189,905,406,1
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,,,0
197,861,480,1
198,861,480,1
199,,,0
200,839,488,1
201,839,488,1
202,839,488,1
203,834,485,1
204,832,484,1
205,,,0
206,,,0
207,,,0
208,813,489,1
209,813,489,1
210,803,494,1
211,803,494,1
212,803,494,1
213,793,496,1
214,793,496,1
215,,,0
216,,,0
217,,,0
218,,,0
219,,,0
220,,,0
221,,,0
222,,,0
223,,,0
224,,,0
225,,,0
226,,,0
227,,,0
228,,,0
229,,,0
230,,,0
231,,,0
232,,,0
233,,,0
234,,,0
235,,,0
236,,,0
237,,,0
238,,,0
239,,,0
240,,,0
241,,,0
242,,,0
