frame_index,x_centroid,y_centroid,visibility_flag
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,1083,721,1
25,1083,721,1
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,864,431,1
34,864,431,1
35,,,0
36,,,0
37,893,396,1
38,893,396,1
39,893,397,1
40,893,397,1
41,,,0
42,,,0
43,,,0
44,,,0
45,936,383,1
46,936,383,1
47,951,387,1
48,951,387,1
49,,,0
50,,,0
51,,,0
52,,,0
53,978,408,1
54,978,408,1
55,,,0
56,,,0
57,,,0
58,,,0
59,,,0
60,,,0
61,,,0
62,,,0
63,,,0
64,,,0
65,,,0
66,1072,601,1
67,1084,641,1
68,1099,685,1
69,1099,685,1
70,1110,735,1
71,1112,694,1
72,,,0
73,,,0
74,,,0
75,,,0
76,1115,577,1
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,1311,632,1
101,1315,633,1
102,1324,638,1
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,1355,685,1
109,,,0
110,1374,677,1
111,1374,677,1
112,1386,680,1
113,,,0
114,1404,697,1
115,,,0
116,1421,701,1
117,,,0
118,,,0
119,1441,710,1
120,1448,710,1
121,1457,711,1
122,1465,713,1
123,1468,713,1
124,1469,713,1
125,1469,713,1
126,,,0
127,,,0
128,1485,717,1
129,1487,717,1
130,1493,717,1
131,1495,717,1
132,1501,716,1
133,1503,717,1
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,,,0
162,,,0
163,,,0
164,,,0
165,,,0
166,,,0
167,,,0
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
