frame_index,x_centroid,y_centroid,visibility_flag
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,,,0
40,,,0
41,,,0
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,,,0
51,,,0
52,,,0
53,,,0
54,,,0
55,,,0
56,,,0
57,1207,654,1
58,1169,570,1
59,1163,532,1
60,1168,480,1
61,1171,468,1
62,1171,465,1
63,1173,460,1
64,1176,454,1
65,1178,452,1
66,1180,452,1
67,1183,452,1
68,1184,454,1
69,1187,461,1
70,1187,461,1
71,1188,466,1
72,,,0
73,1192,483,1
74,,,0
75,,,0
76,1314,520,1
77,1198,538,1
78,1200,547,1
79,1201,545,1
80,,,0
81,,,0
82,1209,499,1
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,1171,601,1
109,1171,601,1
110,1260,424,1
111,1258,436,1
112,1258,436,1
113,1256,450,1
114,1251,458,1
115,1251,458,1
116,,,0
117,1244,498,1
118,1242,509,1
119,1238,535,1
120,1235,563,1
121,1234,568,1
122,1237,558,1
123,1237,551,1
124,1237,551,1
125,1239,549,1
126,1240,545,1
127,1242,543,1
128,1244,543,1
129,1246,543,1
130,1249,547,1
131,1250,550,1
132,1252,560,1
133,1255,570,1
134,1255,576,1
135,1257,581,1
136,1260,578,1
137,1261,578,1
138,1261,577,1
139,1263,578,1
140,1264,579,1
141,1265,583,1
142,,,0
143,1267,589,1
144,,,0
145,1268,592,1
146,1270,594,1
147,1270,596,1
148,1271,598,1
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,1279,607,1
156,,,0
157,,,0
158,,,0
159,1195,704,1
160,1284,613,1
161,1284,614,1
162,1285,615,1
163,,,0
164,,,0
165,,,0
166,,,0
167,,,0
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
178,,,0
179,,,0
180,,,0
181,,,0
182,,,0
183,,,0
184,,,0
185,,,0
186,,,0
187,,,0
188,,,0
189,,,0
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,,,0
197,,,0
198,,,0
199,,,0
200,,,0
201,,,0
202,,,0
203,,,0
204,,,0
205,,,0
206,,,0
207,,,0
208,,,0
209,,,0
210,,,0
211,,,0
212,,,0
213,,,0
214,,,0
215,,,0
216,,,0
217,,,0
218,1357,394,1
219,1357,394,1
220,,,0
221,,,0
222,,,0
223,,,0
224,,,0
225,,,0
226,,,0
227,,,0
228,,,0
229,,,0
230,,,0
231,,,0
232,,,0
233,,,0
234,,,0
235,,,0
236,,,0
237,1406,387,1
238,1406,387,1
239,,,0
240,,,0
241,,,0
242,,,0
243,,,0
244,,,0
245,,,0
246,,,0
247,,,0
248,,,0
249,,,0
250,,,0
251,,,0
252,,,0
253,,,0
254,,,0
255,,,0
256,,,0
257,,,0
258,,,0
259,,,0
260,,,0
261,,,0
262,,,0
263,,,0
264,,,0
265,,,0
266,,,0
267,,,0
268,,,0
269,,,0
270,,,0
271,,,0
272,,,0
273,,,0
